codigoDistrito,provincia,canton,distrito,nombre_actual,sugerencia,correccion_final,clasificacion,evidencia
30201,Cartago,Paraíso,Paraíso,Paora,Pandora,,RECONSTRUCCION_SEGURA,PAORA->PANDORA confirmado x2 en distrito 70102
30203,Cartago,Paraíso,Orosi,Calle Obao,Calle Obando,,RECONSTRUCCION_SEGURA,OBAO->OBANDO confirmado x3 en distrito 10901
30204,Cartago,Paraíso,Cachí,Piedra Grae,Piedra Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
30205,Cartago,Paraíso,Llanos de Santa Lucía,Haciea Jacaraa,Hacienda Jacaranda,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201; JACARAA->JACARANDA confirmado x2 en distrito 10108
30303,Cartago,La Unión,San Juan,Calle Obao,Calle Obando,,RECONSTRUCCION_SEGURA,OBAO->OBANDO confirmado x3 en distrito 10901
30303,Cartago,La Unión,San Juan,Haciea Gregal,Hacienda Gregal,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
30306,Cartago,La Unión,Dulce Nombre,Tista Hernáez,Tista Hernández,,RECONSTRUCCION_SEGURA,HERNAEZ->HERNANDEZ confirmado x2 en distrito 21401
30308,Cartago,La Unión,Río Azul,Liavista,Lindavista,,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
30308,Cartago,La Unión,Río Azul,Liavista (Loma Gobierno),Lindavista (Loma Gobierno),,RECONSTRUCCION_SEGURA,LIAVISTA->LINDAVISTA confirmado x1 en distrito 70301
30403,Cartago,Jiménez,Pejibaye,Almeros,Almendros,,RECONSTRUCCION_SEGURA,ALMEROS->ALMENDROS confirmado x8 en distrito 11305
30502,Cartago,Turrialba,La Suiza,Las Golorinas,Las Golondrinas,,RECONSTRUCCION_SEGURA,GOLORINAS->GOLONDRINAS confirmado x1 en distrito 50309
30505,Cartago,Turrialba,Santa Teresita,Saoval,Sandoval,,RECONSTRUCCION_SEGURA,SAOVAL->SANDOVAL confirmado x1 en distrito 70103
30512,Cartago,Turrialba,Chirripó,Valle Escoido,Valle Escondido,,RECONSTRUCCION_SEGURA,ESCOIDO->ESCONDIDO confirmado x17 en distrito 10701
30701,Cartago,Oreamuno,San Rafael,Cerro Grae,Cerro Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
30702,Cartago,Oreamuno,Cot,Dagoberto Méez Carpio,Dagoberto Méndez Carpio,,RECONSTRUCCION_SEGURA,MEEZ->MENDEZ confirmado x4 en distrito 10106
30801,Cartago,El Guarco,El Tejar,Jacaraas,Jacarandas,,RECONSTRUCCION_SEGURA,JACARAAS->JACARANDAS confirmado x2 en distrito 10203
30802,Cartago,El Guarco,San Isidro,Seeros del Sol,Senderos del Sol,,RECONSTRUCCION_SEGURA,SEEROS->SENDEROS confirmado x1 en distrito 30105
40104,Heredia,Heredia,Ulloa,Lia del Norte,Linda del Norte,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
40105,Heredia,Heredia,Varablanca,Haciea Fátima,Hacienda Fátima,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
40305,Heredia,Santo Domingo,Santo Tomás,Calle Roa,Calle Ronda,,RECONSTRUCCION_SEGURA,ROA->RONDA confirmado x2 en distrito 11501
40401,Heredia,Santa Bárbara,Santa Bárbara,Coominio Colonial,Condominio Colonial,,RECONSTRUCCION_SEGURA,"tipologia del XLSX del IGN: ""Coominio Horizontal"""
40502,Heredia,San Rafael,San Josecito,Villa del Seero,Villa del Sendero,,RECONSTRUCCION_SEGURA,SEERO->SENDERO confirmado x1 en distrito 20109
40504,Heredia,San Rafael,Ángeles,Calle Hernáez,Calle Hernández,,RECONSTRUCCION_SEGURA,HERNAEZ->HERNANDEZ confirmado x2 en distrito 21401
40504,Heredia,San Rafael,Ángeles,Cerro Redoo,Cerro Redondo,,RECONSTRUCCION_SEGURA,REDOO->REDONDO confirmado x5 en distrito 10603
40701,Heredia,Belén,San Antonio,Vistas de Liora,Vistas de Lindora,,RECONSTRUCCION_SEGURA,LIORA->LINDORA confirmado x4 en distrito 10903
40702,Heredia,Belén,La Ribera,Vista Lia,Vista Linda,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
40703,Heredia,Belén,La Asunción,Calle Lia Vista,Calle Linda Vista,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
41001,Heredia,Sarapiquí,Puerto Viejo,Loma Lia la Gerika,Loma Linda la Gerika,,RECONSTRUCCION_SEGURA,LIA->LINDA confirmado x41 en distrito 10105
41002,Heredia,Sarapiquí,La Virgen,Quebrada Grae,Quebrada Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
50101,Guanacaste,Liberia,Liberia,Haciea,Hacienda,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50101,Guanacaste,Liberia,Liberia,Haciea Birmania,Hacienda Birmania,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50101,Guanacaste,Liberia,Liberia,Haciea El Real,Hacienda El Real,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50101,Guanacaste,Liberia,Liberia,Haciea Tempisque,Hacienda Tempisque,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50101,Guanacaste,Liberia,Liberia,Pedro Hernáez,Pedro Hernández,,RECONSTRUCCION_SEGURA,HERNAEZ->HERNANDEZ confirmado x2 en distrito 21401
50101,Guanacaste,Liberia,Liberia,Sitio Llano Grae,Sitio Llano Grande,,RECONSTRUCCION_SEGURA,GRAE->GRANDE confirmado x37 en distrito 10109
50102,Guanacaste,Liberia,Cañas Dulces,Haciea Los Ahogados,Hacienda Los Ahogados,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
50103,Guanacaste,Liberia,Mayorga,Haciea El Querpe,Hacienda El Querpe,,RECONSTRUCCION_SEGURA,HACIEA->HACIENDA confirmado x38 en distrito 10201
