codigoDistrito,ign_2026_original,nombre_corregido,fuenteNombre
20107,Haciea Alsacia,Hacienda Alsacia,REVISION_MANUAL
20107,Lia Vista,Linda Vista,REVISION_MANUAL
20107,Lia Vista,Linda Vista,REVISION_MANUAL
20108,Haciea Espinal,Hacienda Espinal,INEC_LOCALIDADES_2024
20109,Río Seguo,Río Segundo,INEC_LOCALIDADES_2024
20109,El Seero,El Sendero,INEC_LOCALIDADES_2024
20110,Las Oropeolas,Las Oropendolas,INEC_LOCALIDADES_2024
20110,Moovi,Mondovi,INEC_LOCALIDADES_2024
20111,Tamario,Tamarindo,INEC_LOCALIDADES_2024
20111,Caelaria,Candelaria,INEC_LOCALIDADES_2024
20111,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
20111,Proviviea,Provivienda,INEC_LOCALIDADES_2024
20112,Buenos Aires (Lia Vista),Buenos Aires (Linda Vista),INEC_LOCALIDADES_2024
20112,Vueltas Peñaraa,Vueltas Peñaranda,REVISION_MANUAL
20113,La Maarina,La Mandarina,INEC_LOCALIDADES_2024
20113,Maarina,Mandarina,REVISION_MANUAL
20203,Valle Escoido (La Pista),Valle Escondido (La Pista),REVISION_MANUAL
20207,Fernáez,Fernández,INEC_LOCALIDADES_2024
20211,Calle Méez,Calle Méndez,REVISION_MANUAL
20213,Tesoro Escoido,Tesoro Escondido,INEC_LOCALIDADES_2024
20301,Haciea Peters,Hacienda Peters,INEC_LOCALIDADES_2024
20301,Lia Vista,Linda Vista,REVISION_MANUAL
20305,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
20307,Puerto Escoido,Puerto Escondido,INEC_LOCALIDADES_2024
20307,Haciea El Paseo,Hacienda El Paseo,INEC_LOCALIDADES_2024
20402,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
20403,Quebrada Grae,Quebrada Grande,REVISION_MANUAL
20404,Poza Redoa,Poza Redonda,INEC_LOCALIDADES_2024
20503,La Maarina,La Mandarina,INEC_LOCALIDADES_2024
20503,Paraiso Escoido,Paraiso Escondido,INEC_LOCALIDADES_2024
20505,Río Grae,Río Grande,INEC_LOCALIDADES_2024
20505,Haciea Atenas,Hacienda Atenas,INEC_LOCALIDADES_2024
20601,Caelaria,Candelaria,INEC_LOCALIDADES_2024
20601,Oropeola,Oropendola,INEC_LOCALIDADES_2024
20601,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
20602,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
20604,Quebrada Hoa,Quebrada Honda,REVISION_MANUAL
20605,Haciea Miramonte,Hacienda Miramonte,REVISION_MANUAL
20606,Rincón Elizoo,Rincón Elizondo,REVISION_MANUAL
20606,Río Grae,Río Grande,REVISION_MANUAL
20606,Lia Vista,Linda Vista,REVISION_MANUAL
20606,Río Grae,Río Grande,REVISION_MANUAL
20703,Calle Fernáez,Calle Fernández,REVISION_MANUAL
20705,Caelaria,Candelaria,INEC_LOCALIDADES_2024
20707,Elizoo,Elizondo,INEC_LOCALIDADES_2024
20804,Sea,Senda,INEC_LOCALIDADES_2024
20805,Sabana Redoa,Sabana Redonda,INEC_LOCALIDADES_2024
20901,Escoido,Escondido,INEC_LOCALIDADES_2024
20901,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
20901,Los Almeros,Los Almendros,INEC_LOCALIDADES_2024
20901,Alto Vias,Alto Vindas,REVISION_MANUAL
20903,Haciea Vieja,Hacienda Vieja,INEC_LOCALIDADES_2024
20903,Haciea Nueva,Hacienda Nueva,INEC_LOCALIDADES_2024
20905,Haciea Los Ceibos,Hacienda Los Ceibos,INEC_LOCALIDADES_2024
20905,Haciea Don Fernao,Hacienda Don Fernando,REVISION_MANUAL
21001,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
21001,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
21001,Lia Vista (Tesalia),Linda Vista (Tesalia),REVISION_MANUAL
21001,Abuancia (Concepción),Abundancia (Concepción),REVISION_MANUAL
21002,José Seguo,José Segundo,INEC_LOCALIDADES_2024
21004,Calle Hernáez,Calle Hernández,REVISION_MANUAL
21004,Calle Méez,Calle Méndez,REVISION_MANUAL
21006,Puerto Escoido,Puerto Escondido,INEC_LOCALIDADES_2024
21006,Quebrada Grae,Quebrada Grande,INEC_LOCALIDADES_2024
21006,Disneylaia,Disneylandia,INEC_LOCALIDADES_2024
21006,Piedra Alegre (Quebrada Grae),Piedra Alegre (Quebrada Grande),REVISION_MANUAL
21007,Lia Vista,Linda Vista,REVISION_MANUAL
21008,Lio,Lindo,INEC_LOCALIDADES_2024
21010,Lia Vista,Linda Vista,REVISION_MANUAL
21011,San Fernao,San Fernando,INEC_LOCALIDADES_2024
21011,Almeros,Almendros,REVISION_MANUAL
21011,Tabla Grae (San Pedro),Tabla Grande (San Pedro),REVISION_MANUAL
21012,San Arés,San Andrés,INEC_LOCALIDADES_2024
21013,Baeras,Banderas,INEC_LOCALIDADES_2024
21201,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
21201,Los Almeros,Los Almendros,INEC_LOCALIDADES_2024
21203,Río Seguo,Río Segundo,INEC_LOCALIDADES_2024
21303,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
21305,San Fernao,San Fernando,INEC_LOCALIDADES_2024
21307,Quebrada Grae,Quebrada Grande,INEC_LOCALIDADES_2024
21308,Comaos,Comandos,REVISION_MANUAL
21401,Hernáez,Hernández,INEC_LOCALIDADES_2024
21401,San Alejaro,San Alejandro,REVISION_MANUAL
21401,Hernáez (Los Ángeles),Hernández (Los Ángeles),REVISION_MANUAL
21403,San Arés,San Andrés,INEC_LOCALIDADES_2024
21403,Quebrada Grae,Quebrada Grande,REVISION_MANUAL
21404,San Fernao,San Fernando,INEC_LOCALIDADES_2024
21501,San Arés,San Andrés,INEC_LOCALIDADES_2024
30104,Baerilla,Banderilla,INEC_LOCALIDADES_2024
30104,Haciea La Lima,Hacienda La Lima,INEC_LOCALIDADES_2024
30104,Roa,Ronda,REVISION_MANUAL
30105,Haciea de Oro,Hacienda de Oro,INEC_LOCALIDADES_2024
30105,Alejarinas,Alejandrinas,INEC_LOCALIDADES_2024
30105,Haciea Real,Hacienda Real,INEC_LOCALIDADES_2024
30105,Seeros del Este,Senderos del Este,INEC_LOCALIDADES_2024
30105,Loma Lia,Loma Linda,REVISION_MANUAL
30106,Haciea del Rey,Hacienda del Rey,INEC_LOCALIDADES_2024
30109,Valle Escoido,Valle Escondido,INEC_LOCALIDADES_2024
30110,Llano Grae,Llano Grande,INEC_LOCALIDADES_2024
30201,Barro Hoo,Barro Hondo,INEC_LOCALIDADES_2024
30201,Piedra Grae,Piedra Grande,INEC_LOCALIDADES_2024
30201,Paora,Pandora,REVISION_MANUAL
30203,Calle Obao,Calle Obando,REVISION_MANUAL
30204,Piedra Grae,Piedra Grande,REVISION_MANUAL
30205,Haciea Jacaraa,Hacienda Jacaranda,REVISION_MANUAL
30301,Vistas De La Haciea,Vistas De La Hacienda,INEC_LOCALIDADES_2024
30303,Haciea Imperial,Hacienda Imperial,INEC_LOCALIDADES_2024
30303,Jacaraas,Jacarandas,INEC_LOCALIDADES_2024
30303,Haciea Sacramento,Hacienda Sacramento,INEC_LOCALIDADES_2024
30303,Haciea Gregal,Hacienda Gregal,REVISION_MANUAL
30303,Calle Obao,Calle Obando,REVISION_MANUAL
30306,Tista Hernáez,Tista Hernández,REVISION_MANUAL
30307,Holaés,Holandés,INEC_LOCALIDADES_2024
30308,Liavista (Loma Gobierno),Lindavista (Loma Gobierno),REVISION_MANUAL
30308,Liavista,Lindavista,REVISION_MANUAL
